airfoil,Reynolds,alpha,CL,CD
NACA 0010,32000,0.0,-0.0,0.02135
NACA 0010,32000,0.1,0.0032,0.02136
NACA 0010,32000,0.2,0.0064,0.02138
NACA 0010,32000,0.3,0.0097,0.0214
NACA 0010,32000,0.4,0.0129,0.02144
NACA 0010,32000,0.5,0.0161,0.02149
NACA 0010,32000,0.6,0.0194,0.02155
NACA 0010,32000,0.7,0.0227,0.02162
NACA 0010,32000,0.8,0.0261,0.0217
NACA 0010,32000,0.9,0.0297,0.0218
NACA 0010,32000,1.0,0.0334,0.0219
NACA 0010,32000,1.1,0.0372,0.02202
NACA 0010,32000,1.2,0.0412,0.02216
NACA 0010,32000,1.3,0.0453,0.0223
NACA 0010,32000,1.4,0.0496,0.02246
NACA 0010,32000,1.5,0.0539,0.02264
NACA 0010,32000,1.6,0.0584,0.02282
NACA 0010,32000,1.7,0.0629,0.02303
NACA 0010,32000,1.8,0.0675,0.02325
NACA 0010,32000,1.9,0.0721,0.02349
NACA 0010,32000,2.0,0.0768,0.02374
NACA 0010,32000,2.1,0.0815,0.02401
NACA 0010,32000,2.2,0.0862,0.0243
NACA 0010,32000,2.3,0.0909,0.02462
NACA 0010,32000,2.4,0.0956,0.02495
NACA 0010,32000,2.5,0.1003,0.0253
NACA 0010,32000,2.6,0.105,0.02567
NACA 0010,32000,2.7,0.1096,0.02607
NACA 0010,32000,2.8,0.1142,0.02648
NACA 0010,32000,2.9,0.1188,0.02693
NACA 0010,32000,3.0,0.1233,0.02739
NACA 0010,32000,3.1,0.1277,0.02788
NACA 0010,32000,3.2,0.1321,0.0284
NACA 0010,32000,3.3,0.1849,0.02976
NACA 0010,32000,3.4,0.2449,0.03102
NACA 0010,32000,3.5,0.2846,0.03172
NACA 0010,32000,3.6,0.353,0.03223
NACA 0010,32000,3.7,0.3944,0.03236
NACA 0010,32000,3.8,0.4569,0.0316
NACA 0010,32000,3.9,0.4807,0.0313
NACA 0010,32000,4.0,0.5021,0.03089
NACA 0010,32000,4.1,0.5198,0.03048
NACA 0010,32000,4.2,0.5335,0.03016
