airfoil,alpha,CL,CD
NACA0006,0.0,0.0,0.00732
NACA0006,0.1,0.0082,0.00732
NACA0006,0.2,0.0165,0.00733
NACA0006,0.3,0.0249,0.00734
NACA0006,0.4,0.0333,0.00735
NACA0006,0.5,0.0419,0.00736
NACA0006,0.6,0.0505,0.00738
NACA0006,0.7,0.0592,0.0074
NACA0006,0.8,0.068,0.00743
NACA0006,0.9,0.0768,0.00746
NACA0006,1.0,0.0857,0.00749
NACA0006,1.1,0.0946,0.00753
NACA0006,1.2,0.1036,0.00757
NACA0006,1.3,0.1126,0.00761
NACA0006,1.4,0.1216,0.00767
NACA0006,1.5,0.1387,0.00771
NACA0006,1.6,0.1651,0.00772
NACA0006,1.7,0.1937,0.0077
NACA0006,1.8,0.2194,0.00767
NACA0006,1.9,0.2429,0.00762
NACA0006,2.0,0.2616,0.00757
NACA0006,2.1,0.2768,0.00755
NACA0006,2.2,0.2887,0.00756
NACA0006,2.3,0.2976,0.00763
NACA0006,2.4,0.3057,0.00776
NACA0006,2.5,0.3133,0.00795
NACA0006,2.6,0.321,0.0082
NACA0006,2.7,0.3288,0.00851
NACA0006,2.8,0.3366,0.00886
NACA0006,2.9,0.3445,0.00929
NACA0006,3.0,0.3521,0.00986
NACA0006,3.1,0.3593,0.0107
NACA0006,3.2,0.3673,0.01159
NACA0006,3.3,0.377,0.01211
NACA0006,3.4,0.3869,0.01255
NACA0006,3.5,0.3965,0.01303
NACA0006,3.6,0.407,0.01326
NACA0006,3.7,0.4162,0.01387
NACA0006,3.8,0.4263,0.01432
NACA0006,3.9,0.4365,0.01475
NACA0006,4.0,0.4467,0.01524
NACA0006,4.1,0.4567,0.01581
NACA0006,4.2,0.4663,0.01666
NACA0006,4.3,0.4766,0.01729
NACA0006,4.4,0.4875,0.01736
NACA0006,4.5,0.4978,0.01776
NACA0006,4.6,0.5078,0.01847
NACA0006,4.7,0.5173,0.01988
NACA0006,4.8,0.5274,0.02103
NACA0006,4.9,0.5379,0.02182
NACA0006,5.0,0.548,0.02285
NACA0006,5.1,0.5578,0.02406
NACA0006,5.2,0.567,0.02551
NACA0006,5.3,0.5756,0.02738
NACA0006,5.4,0.5869,0.02756
NACA0006,5.5,0.5966,0.03059
NACA0006,5.6,0.6032,0.03286
NACA0006,5.7,0.615,0.03966
NACA0006,5.8,0.623,0.04089
NACA0006,5.9,0.6304,0.04216
NACA0006,6.0,0.6377,0.04342
NACA0006,6.1,0.6447,0.04473
NACA0006,6.2,0.6514,0.04621
NACA0006,6.3,0.6577,0.04807
NACA0006,6.4,0.6576,0.05336
NACA0006,6.5,0.6645,0.05238
NACA0006,6.6,0.6698,0.05417
NACA0006,6.7,0.6746,0.05587
NACA0006,6.8,0.6791,0.05747
NACA0006,6.9,0.6836,0.05899
NACA0006,7.0,0.6878,0.06045
NACA0006,7.1,0.6917,0.06192
NACA0006,7.2,0.6961,0.0633
NACA0006,7.3,0.7,0.06492
NACA0006,7.4,0.7048,0.06733
NACA0006,7.5,0.7017,0.07157
NACA0006,7.6,0.7024,0.07325
NACA0006,7.7,0.7025,0.07496
NACA0006,7.8,0.7009,0.0769
NACA0006,7.9,0.6987,0.07936
NACA0006,8.0,0.6976,0.08249
NACA0006,8.1,0.6955,0.08539
NACA0006,8.2,0.6938,0.08797
NACA0006,8.3,0.6925,0.09028
NACA0006,8.4,0.6918,0.09237
NACA0006,8.5,0.6913,0.09434
NACA0006,8.6,0.6909,0.09629
NACA0006,8.7,0.6907,0.09815
NACA0006,8.8,0.6908,0.09997
NACA0006,8.9,0.691,0.10175
NACA0006,9.0,0.6913,0.10348
NACA0006,9.1,0.6918,0.10517
NACA0006,9.2,0.6925,0.10683
NACA0006,9.3,0.6933,0.10845
NACA0006,9.4,0.6944,0.11004
NACA0006,9.5,0.6958,0.11158
NACA0006,9.6,0.6974,0.11308
NACA0006,9.7,0.6994,0.11453
NACA0006,9.8,0.7019,0.11593
NACA0006,9.9,0.7049,0.11732
NACA0006,10.1,0.1699,0.0169
NACA0006,10.2,0.1712,0.01748
NACA0006,10.3,0.1733,0.01807
NACA0006,10.4,0.1762,0.01867
NACA0006,10.5,0.1803,0.01928
NACA0006,10.6,0.1868,0.01996
NACA0006,10.7,0.2052,0.02215
NACA0006,10.8,0.2054,0.02282
NACA0006,10.9,0.2044,0.02346
NACA0006,11.0,0.2031,0.02405
NACA0006,11.1,0.2011,0.02454
NACA0006,11.2,0.1977,0.02495
NACA0006,11.3,0.1951,0.02542
NACA0006,11.4,0.195,0.02606
NACA0006,11.5,0.1965,0.02678
NACA0006,11.6,0.1987,0.02754
NACA0006,11.7,0.2013,0.02831
NACA0006,11.8,0.2043,0.0291
NACA0006,11.9,0.2078,0.02991
NACA0006,12.0,0.2119,0.03075
NACA0006,12.1,0.2175,0.03169
NACA0006,12.2,0.2283,0.03309
NACA0006,12.3,0.2402,0.03591
NACA0006,12.4,0.2409,0.0367
NACA0006,12.5,0.2416,0.03745
NACA0006,12.6,0.242,0.03814
NACA0006,12.7,0.2418,0.03876
NACA0006,12.8,0.2408,0.0393
NACA0006,12.9,0.2397,0.03979
NACA0006,13.0,0.2397,0.04039
NACA0006,13.1,0.2412,0.04118
NACA0006,13.2,0.2436,0.04208
NACA0006,13.3,0.2464,0.04303
NACA0006,13.4,0.2494,0.04401
NACA0006,13.5,0.2525,0.04501
NACA0006,13.6,0.2558,0.04603
NACA0006,13.7,0.2593,0.04707
NACA0006,13.8,0.2631,0.04814
NACA0006,13.9,0.2673,0.04926
NACA0006,14.0,0.2722,0.05052
NACA0006,14.1,0.2802,0.0523
NACA0006,14.2,0.2945,0.05652
NACA0006,14.3,0.2961,0.05747
NACA0006,14.4,0.2975,0.05836
NACA0006,14.5,0.2985,0.05918
NACA0006,14.6,0.2988,0.0599
NACA0006,14.7,0.299,0.06052
NACA0006,14.8,0.299,0.06104
NACA0006,14.9,0.2993,0.06154
NACA0006,15.0,0.3008,0.06231
NACA0008,0.0,-0.0,0.00841
NACA0008,0.1,0.0028,0.00842
NACA0008,0.2,0.0058,0.00844
NACA0008,0.3,0.0089,0.00847
NACA0008,0.4,0.0124,0.00851
NACA0008,0.6,0.0477,0.00857
NACA0008,0.7,0.0706,0.00858
NACA0008,0.8,0.0935,0.00857
NACA0008,0.9,0.118,0.00856
NACA0008,1.0,0.1401,0.00853
NACA0008,1.1,0.1625,0.00849
NACA0008,1.2,0.1835,0.00845
NACA0008,1.3,0.2032,0.00839
NACA0008,1.4,0.2206,0.00834
NACA0008,1.5,0.2385,0.00828
NACA0008,1.6,0.251,0.00824
NACA0008,1.7,0.2629,0.0082
NACA0008,1.8,0.2738,0.00818
NACA0008,1.9,0.2838,0.00817
NACA0008,2.0,0.2929,0.00818
NACA0008,2.1,0.3019,0.00821
NACA0008,2.2,0.3109,0.00826
NACA0008,2.3,0.3199,0.00833
NACA0008,2.4,0.3289,0.00841
NACA0008,2.5,0.3379,0.00851
NACA0008,2.6,0.3469,0.00863
NACA0008,2.7,0.3559,0.00876
NACA0008,2.8,0.365,0.00891
NACA0008,2.9,0.374,0.00907
NACA0008,3.0,0.383,0.00924
NACA0008,3.1,0.3919,0.00942
NACA0008,3.2,0.4008,0.00963
NACA0008,3.3,0.4096,0.00985
NACA0008,3.4,0.4186,0.01008
NACA0008,3.5,0.4273,0.01035
NACA0008,3.6,0.436,0.01063
NACA0008,3.7,0.4446,0.01097
NACA0008,3.8,0.453,0.01136
NACA0008,3.9,0.4614,0.01179
NACA0008,4.0,0.4699,0.01225
NACA0008,4.1,0.4784,0.01273
NACA0008,4.2,0.4872,0.01315
NACA0008,4.3,0.4967,0.01344
NACA0008,4.4,0.506,0.01379
NACA0008,4.5,0.5152,0.01415
NACA0008,4.6,0.5241,0.0146
NACA0008,4.7,0.5337,0.0149
NACA0008,4.8,0.543,0.01528
NACA0008,4.9,0.5511,0.01601
NACA0008,5.0,0.5613,0.01624
NACA0008,5.1,0.5713,0.01647
NACA0008,5.2,0.5807,0.0168
NACA0008,5.3,0.5889,0.01769
NACA0008,5.4,0.5991,0.01802
NACA0008,5.5,0.6091,0.01845
NACA0008,5.6,0.6191,0.01893
NACA0008,5.7,0.6289,0.01943
NACA0008,5.8,0.6387,0.01996
NACA0008,5.9,0.6483,0.02055
NACA0008,6.0,0.6577,0.02133
NACA0008,6.1,0.6667,0.02245
NACA0008,6.2,0.6753,0.02392
NACA0008,6.3,0.6838,0.02528
NACA0008,6.4,0.6928,0.02621
NACA0008,6.5,0.7014,0.02729
NACA0008,6.6,0.7101,0.02807
NACA0008,6.7,0.719,0.02859
NACA0008,6.8,0.7277,0.02915
NACA0008,6.9,0.7361,0.02977
NACA0008,7.0,0.7443,0.0304
NACA0008,7.1,0.7515,0.03151
NACA0008,7.2,0.758,0.03273
NACA0008,7.3,0.7642,0.034
NACA0008,7.4,0.77,0.0353
NACA0008,7.5,0.7753,0.03665
NACA0008,7.6,0.7798,0.03816
NACA0008,7.7,0.781,0.04054
NACA0008,7.8,0.777,0.04429
NACA0008,7.9,0.7743,0.0474
NACA0008,8.0,0.772,0.05015
NACA0008,8.1,0.7698,0.05264
NACA0008,8.2,0.7679,0.05489
NACA0008,8.3,0.7663,0.05696
NACA0008,8.4,0.7647,0.05898
NACA0008,8.5,0.7363,0.07128
NACA0008,8.6,0.7217,0.07429
NACA0008,8.7,0.715,0.07698
NACA0008,8.8,0.7094,0.08021
NACA0008,8.9,0.7045,0.08367
NACA0008,9.0,0.7002,0.08688
NACA0008,9.1,0.6966,0.08973
NACA0008,9.2,0.6938,0.09231
NACA0008,9.3,0.6916,0.09469
NACA0008,9.4,0.6898,0.09692
NACA0008,9.5,0.6884,0.09902
NACA0008,9.6,0.6875,0.10102
NACA0008,9.7,0.687,0.10291
NACA0008,9.8,0.687,0.10471
NACA0008,9.9,0.6874,0.10641
NACA0008,10.0,0.6882,0.10802
NACA0008,10.1,0.6893,0.10954
NACA0008,10.2,0.6909,0.11098
NACA0008,10.3,0.693,0.11231
NACA0008,10.4,0.6953,0.11362
NACA0008,10.5,0.6984,0.11483
NACA0008,10.6,0.701,0.11619
NACA0008,10.7,0.6991,0.11921
NACA0008,10.8,0.6985,0.12141
NACA0008,10.9,0.698,0.12356
NACA0008,11.0,0.6976,0.12567
NACA0008,11.1,0.6974,0.12773
NACA0008,11.2,0.6967,0.12978
NACA0008,11.3,0.6951,0.13187
NACA0008,11.4,0.6933,0.13394
NACA0008,11.5,0.6903,0.13611
NACA0008,11.6,0.6879,0.13825
NACA0008,11.7,0.6875,0.14017
