airfoil,alpha,CL,CD
NACA0013,0.0,-0.0,0.01031
NACA0013,0.1,0.0132,0.01031
NACA0013,0.2,0.0222,0.01032
NACA0013,0.3,0.0336,0.01033
NACA0013,0.4,0.0474,0.01036
NACA0013,0.5,0.059,0.01041
NACA0013,0.6,0.0683,0.01042
NACA0013,0.7,0.0819,0.01046
NACA0013,0.8,0.0962,0.01053
NACA0013,0.9,0.1096,0.01059
NACA0013,1.0,0.1211,0.01063
NACA0013,1.1,0.1327,0.01068
NACA0013,1.2,0.1491,0.01075
NACA0013,1.3,0.1652,0.01084
NACA0013,1.4,0.1804,0.0109
NACA0013,1.5,0.1931,0.01097
NACA0013,1.6,0.2058,0.01104
NACA0013,1.7,0.2243,0.0111
NACA0013,1.8,0.2428,0.01119
NACA0013,1.9,0.2608,0.01126
NACA0013,2.0,0.2772,0.01133
NACA0013,2.1,0.291,0.01141
NACA0013,2.2,0.306,0.01147
NACA0013,2.3,0.3247,0.01155
NACA0013,2.4,0.3429,0.0116
NACA0013,2.6,0.3758,0.01174
NACA0013,2.7,0.3898,0.01184
NACA0013,2.8,0.4087,0.01189
NACA0013,2.9,0.4265,0.01196
NACA0013,3.0,0.4439,0.01201
NACA0013,3.1,0.4605,0.0121
NACA0013,3.2,0.4775,0.01217
NACA0013,3.3,0.4954,0.01224
NACA0013,3.4,0.5132,0.01228
NACA0013,3.5,0.5296,0.01238
NACA0013,3.6,0.5385,0.01242
NACA0013,3.7,0.5472,0.01248
NACA0013,3.8,0.556,0.01255
NACA0013,3.9,0.5648,0.01261
NACA0013,4.0,0.5733,0.01271
NACA0013,4.1,0.5822,0.01277
NACA0013,4.3,0.5994,0.01295
NACA0013,4.4,0.6077,0.01307
NACA0013,4.5,0.6163,0.01316
NACA0013,4.6,0.6245,0.01328
NACA0013,4.7,0.6328,0.0134
NACA0013,4.8,0.6409,0.01353
NACA0013,4.9,0.6489,0.01367
NACA0013,5.0,0.657,0.0138
NACA0013,5.1,0.6647,0.01397
NACA0013,5.2,0.6728,0.01411
NACA0013,5.3,0.6802,0.0143
NACA0013,5.4,0.6882,0.01444
NACA0013,5.5,0.6952,0.01468
NACA0013,5.6,0.7034,0.0148
NACA0013,5.7,0.7103,0.01504
NACA0013,5.8,0.7182,0.0152
NACA0013,5.9,0.7253,0.01542
NACA0013,6.0,0.7324,0.01565
NACA0013,6.1,0.7401,0.01583
NACA0013,6.2,0.7464,0.01612
NACA0013,6.3,0.754,0.01632
NACA0013,6.4,0.7614,0.01652
NACA0013,6.5,0.7677,0.01682
NACA0013,6.6,0.7747,0.01709
