airfoil,alpha,CL,CD,max_camber,camber_position,thickness
NACA0006,0.0,0.0,0.00732,0.0,0.0,0.06
NACA0006,0.1,0.0082,0.00732,0.0,0.0,0.06
NACA0006,0.2,0.0165,0.00733,0.0,0.0,0.06
NACA0006,0.3,0.0249,0.00734,0.0,0.0,0.06
NACA0006,0.4,0.0333,0.00735,0.0,0.0,0.06
NACA0006,0.5,0.0419,0.00736,0.0,0.0,0.06
NACA0006,0.6,0.0505,0.00738,0.0,0.0,0.06
NACA0006,0.7,0.0592,0.0074,0.0,0.0,0.06
NACA0006,0.8,0.068,0.00743,0.0,0.0,0.06
NACA0006,0.9,0.0768,0.00746,0.0,0.0,0.06
NACA0006,1.0,0.0857,0.00749,0.0,0.0,0.06
NACA0006,1.1,0.0946,0.00753,0.0,0.0,0.06
NACA0006,1.2,0.1036,0.00757,0.0,0.0,0.06
NACA0006,1.3,0.1126,0.00761,0.0,0.0,0.06
NACA0006,1.4,0.1216,0.00767,0.0,0.0,0.06
NACA0006,1.5,0.1387,0.00771,0.0,0.0,0.06
NACA0006,1.6,0.1651,0.00772,0.0,0.0,0.06
NACA0006,1.7,0.1937,0.0077,0.0,0.0,0.06
NACA0006,1.8,0.2194,0.00767,0.0,0.0,0.06
NACA0006,1.9,0.2429,0.00762,0.0,0.0,0.06
NACA0006,2.0,0.2616,0.00757,0.0,0.0,0.06
NACA0006,2.1,0.2768,0.00755,0.0,0.0,0.06
NACA0006,2.2,0.2887,0.00756,0.0,0.0,0.06
NACA0006,2.3,0.2976,0.00763,0.0,0.0,0.06
NACA0006,2.4,0.3057,0.00776,0.0,0.0,0.06
NACA0006,2.5,0.3133,0.00795,0.0,0.0,0.06
NACA0006,2.6,0.321,0.0082,0.0,0.0,0.06
NACA0006,2.7,0.3288,0.00851,0.0,0.0,0.06
NACA0006,2.8,0.3366,0.00886,0.0,0.0,0.06
NACA0006,2.9,0.3445,0.00929,0.0,0.0,0.06
NACA0006,3.0,0.3521,0.00986,0.0,0.0,0.06
NACA0006,3.1,0.3593,0.0107,0.0,0.0,0.06
NACA0006,3.2,0.3673,0.01159,0.0,0.0,0.06
NACA0006,3.3,0.377,0.01211,0.0,0.0,0.06
NACA0006,3.4,0.3869,0.01255,0.0,0.0,0.06
NACA0006,3.5,0.3965,0.01303,0.0,0.0,0.06
NACA0006,3.6,0.407,0.01326,0.0,0.0,0.06
NACA0006,3.7,0.4162,0.01387,0.0,0.0,0.06
NACA0006,3.8,0.4263,0.01432,0.0,0.0,0.06
NACA0006,3.9,0.4365,0.01475,0.0,0.0,0.06
NACA0006,4.0,0.4467,0.01524,0.0,0.0,0.06
NACA0006,4.1,0.4567,0.01581,0.0,0.0,0.06
NACA0006,4.2,0.4663,0.01666,0.0,0.0,0.06
NACA0006,4.3,0.4766,0.01729,0.0,0.0,0.06
NACA0006,4.4,0.4875,0.01736,0.0,0.0,0.06
NACA0006,4.5,0.4978,0.01776,0.0,0.0,0.06
NACA0006,4.6,0.5078,0.01847,0.0,0.0,0.06
NACA0006,4.7,0.5173,0.01988,0.0,0.0,0.06
NACA0006,4.8,0.5274,0.02103,0.0,0.0,0.06
NACA0006,4.9,0.5379,0.02182,0.0,0.0,0.06
NACA0006,5.0,0.548,0.02285,0.0,0.0,0.06
NACA0006,5.1,0.5578,0.02406,0.0,0.0,0.06
NACA0006,5.2,0.567,0.02551,0.0,0.0,0.06
NACA0006,5.3,0.5756,0.02738,0.0,0.0,0.06
NACA0006,5.4,0.5869,0.02756,0.0,0.0,0.06
NACA0006,5.5,0.5966,0.03059,0.0,0.0,0.06
NACA0006,5.6,0.6032,0.03286,0.0,0.0,0.06
NACA0006,5.7,0.615,0.03966,0.0,0.0,0.06
NACA0006,5.8,0.623,0.04089,0.0,0.0,0.06
NACA0006,5.9,0.6304,0.04216,0.0,0.0,0.06
NACA0006,6.0,0.6377,0.04342,0.0,0.0,0.06
NACA0006,6.1,0.6447,0.04473,0.0,0.0,0.06
NACA0006,6.2,0.6514,0.04621,0.0,0.0,0.06
NACA0006,6.3,0.6577,0.04807,0.0,0.0,0.06
NACA0006,6.4,0.6576,0.05336,0.0,0.0,0.06
NACA0006,6.5,0.6645,0.05238,0.0,0.0,0.06
NACA0006,6.6,0.6698,0.05417,0.0,0.0,0.06
NACA0006,6.7,0.6746,0.05587,0.0,0.0,0.06
NACA0006,6.8,0.6791,0.05747,0.0,0.0,0.06
NACA0006,6.9,0.6836,0.05899,0.0,0.0,0.06
NACA0006,7.0,0.6878,0.06045,0.0,0.0,0.06
NACA0006,7.1,0.6917,0.06192,0.0,0.0,0.06
NACA0006,7.2,0.6961,0.0633,0.0,0.0,0.06
NACA0006,7.3,0.7,0.06492,0.0,0.0,0.06
NACA0006,7.4,0.7048,0.06733,0.0,0.0,0.06
NACA0006,7.5,0.7017,0.07157,0.0,0.0,0.06
NACA0006,7.6,0.7024,0.07325,0.0,0.0,0.06
NACA0006,7.7,0.7025,0.07496,0.0,0.0,0.06
NACA0006,7.8,0.7009,0.0769,0.0,0.0,0.06
NACA0006,7.9,0.6987,0.07936,0.0,0.0,0.06
NACA0006,8.0,0.6976,0.08249,0.0,0.0,0.06
NACA0008,0.0,-0.0,0.00841,0.0,0.0,0.08
NACA0008,0.1,0.0028,0.00842,0.0,0.0,0.08
NACA0008,0.2,0.0058,0.00844,0.0,0.0,0.08
NACA0008,0.3,0.0089,0.00847,0.0,0.0,0.08
NACA0008,0.4,0.0124,0.00851,0.0,0.0,0.08
NACA0008,0.6,0.0477,0.00857,0.0,0.0,0.08
NACA0008,0.7,0.0706,0.00858,0.0,0.0,0.08
NACA0008,0.8,0.0935,0.00857,0.0,0.0,0.08
NACA0008,0.9,0.118,0.00856,0.0,0.0,0.08
NACA0008,1.0,0.1401,0.00853,0.0,0.0,0.08
NACA0008,1.1,0.1625,0.00849,0.0,0.0,0.08
NACA0008,1.2,0.1835,0.00845,0.0,0.0,0.08
NACA0008,1.3,0.2032,0.00839,0.0,0.0,0.08
NACA0008,1.4,0.2206,0.00834,0.0,0.0,0.08
NACA0008,1.5,0.2385,0.00828,0.0,0.0,0.08
NACA0008,1.6,0.251,0.00824,0.0,0.0,0.08
NACA0008,1.7,0.2629,0.0082,0.0,0.0,0.08
NACA0008,1.8,0.2738,0.00818,0.0,0.0,0.08
NACA0008,1.9,0.2838,0.00817,0.0,0.0,0.08
NACA0008,2.0,0.2929,0.00818,0.0,0.0,0.08
NACA0008,2.1,0.3019,0.00821,0.0,0.0,0.08
NACA0008,2.2,0.3109,0.00826,0.0,0.0,0.08
NACA0008,2.3,0.3199,0.00833,0.0,0.0,0.08
NACA0008,2.4,0.3289,0.00841,0.0,0.0,0.08
NACA0008,2.5,0.3379,0.00851,0.0,0.0,0.08
NACA0008,2.6,0.3469,0.00863,0.0,0.0,0.08
NACA0008,2.7,0.3559,0.00876,0.0,0.0,0.08
NACA0008,2.8,0.365,0.00891,0.0,0.0,0.08
NACA0008,2.9,0.374,0.00907,0.0,0.0,0.08
NACA0008,3.0,0.383,0.00924,0.0,0.0,0.08
NACA0008,3.1,0.3919,0.00942,0.0,0.0,0.08
NACA0008,3.2,0.4008,0.00963,0.0,0.0,0.08
NACA0008,3.3,0.4096,0.00985,0.0,0.0,0.08
NACA0008,3.4,0.4186,0.01008,0.0,0.0,0.08
NACA0008,3.5,0.4273,0.01035,0.0,0.0,0.08
NACA0008,3.6,0.436,0.01063,0.0,0.0,0.08
NACA0008,3.7,0.4446,0.01097,0.0,0.0,0.08
NACA0008,3.8,0.453,0.01136,0.0,0.0,0.08
NACA0008,3.9,0.4614,0.01179,0.0,0.0,0.08
NACA0008,4.0,0.4699,0.01225,0.0,0.0,0.08
NACA0008,4.1,0.4784,0.01273,0.0,0.0,0.08
NACA0008,4.2,0.4872,0.01315,0.0,0.0,0.08
NACA0008,4.3,0.4967,0.01344,0.0,0.0,0.08
NACA0008,4.4,0.506,0.01379,0.0,0.0,0.08
NACA0008,4.5,0.5152,0.01415,0.0,0.0,0.08
NACA0008,4.6,0.5241,0.0146,0.0,0.0,0.08
NACA0008,4.7,0.5337,0.0149,0.0,0.0,0.08
NACA0008,4.8,0.543,0.01528,0.0,0.0,0.08
NACA0008,4.9,0.5511,0.01601,0.0,0.0,0.08
NACA0008,5.0,0.5613,0.01624,0.0,0.0,0.08
NACA0008,5.1,0.5713,0.01647,0.0,0.0,0.08
NACA0008,5.2,0.5807,0.0168,0.0,0.0,0.08
NACA0008,5.3,0.5889,0.01769,0.0,0.0,0.08
NACA0008,5.4,0.5991,0.01802,0.0,0.0,0.08
NACA0008,5.5,0.6091,0.01845,0.0,0.0,0.08
NACA0008,5.6,0.6191,0.01893,0.0,0.0,0.08
NACA0008,5.7,0.6289,0.01943,0.0,0.0,0.08
NACA0008,5.8,0.6387,0.01996,0.0,0.0,0.08
NACA0008,5.9,0.6483,0.02055,0.0,0.0,0.08
NACA0008,6.0,0.6577,0.02133,0.0,0.0,0.08
NACA0008,6.1,0.6667,0.02245,0.0,0.0,0.08
NACA0008,6.2,0.6753,0.02392,0.0,0.0,0.08
NACA0008,6.3,0.6838,0.02528,0.0,0.0,0.08
NACA0008,6.4,0.6928,0.02621,0.0,0.0,0.08
NACA0008,6.5,0.7014,0.02729,0.0,0.0,0.08
NACA0008,6.6,0.7101,0.02807,0.0,0.0,0.08
NACA0008,6.7,0.719,0.02859,0.0,0.0,0.08
NACA0008,6.8,0.7277,0.02915,0.0,0.0,0.08
NACA0008,6.9,0.7361,0.02977,0.0,0.0,0.08
NACA0008,7.0,0.7443,0.0304,0.0,0.0,0.08
NACA0008,7.1,0.7515,0.03151,0.0,0.0,0.08
NACA0008,7.2,0.758,0.03273,0.0,0.0,0.08
NACA0008,7.3,0.7642,0.034,0.0,0.0,0.08
NACA0008,7.4,0.77,0.0353,0.0,0.0,0.08
NACA0008,7.5,0.7753,0.03665,0.0,0.0,0.08
NACA0008,7.6,0.7798,0.03816,0.0,0.0,0.08
NACA0008,7.7,0.781,0.04054,0.0,0.0,0.08
NACA0008,7.8,0.777,0.04429,0.0,0.0,0.08
NACA0008,7.9,0.7743,0.0474,0.0,0.0,0.08
NACA0008,8.0,0.772,0.05015,0.0,0.0,0.08
NACA0008,8.1,0.7698,0.05264,0.0,0.0,0.08
NACA0008,8.2,0.7679,0.05489,0.0,0.0,0.08
NACA0008,8.3,0.7663,0.05696,0.0,0.0,0.08
NACA0008,8.4,0.7647,0.05898,0.0,0.0,0.08
NACA0008,8.5,0.7363,0.07128,0.0,0.0,0.08
NACA0008,8.6,0.7217,0.07429,0.0,0.0,0.08
NACA0008,8.7,0.715,0.07698,0.0,0.0,0.08
NACA0008,8.8,0.7094,0.08021,0.0,0.0,0.08
NACA0008,8.9,0.7045,0.08367,0.0,0.0,0.08
